Field,Aliases,Description,Units,Units-2,Sensor,Manufacturer,Notes,SiteKey
SoilEC_15cm,SoilEC1,Soil electical conductivity 15cm,dS/m,Decisiemens per meter,CS655,Campbell Scientific,,LongTermVegetationPlots_Met
SoilT_C_15cm,SoilT1_C,Soil temperature 15cm,°C,Degrees Celcius,CS655,Campbell Scientific,,LongTermVegetationPlots_Met
SoilVWC_30cm,SoilVWC2,Soil moisture (volumetric water content) 30cm,-,Water fraction by volume,CS655,Campbell Scientific,,LongTermVegetationPlots_Met
SoilEC_30cm,SoilEC2,Soil electical conductivity 30cm,dS/m,Decisiemens per meter,CS655,Campbell Scientific,,LongTermVegetationPlots_Met
SoilT_C_30cm,SoilT2_C,Soil temperature 30cm,°C,Degrees Celcius,CS655,Campbell Scientific,,LongTermVegetationPlots_Met
SoilVWC_50cm,SoilVWC3,Soil moisture (volumetric water content) 50cm,-,Water fraction by volume,CS655,Campbell Scientific,,LongTermVegetationPlots_Met
SoilEC_50cm,SoilEC3,Soil electical conductivity 50cm,dS/m,Decisiemens per meter,CS655,Campbell Scientific,,LongTermVegetationPlots_Met
SoilT_C_50cm,SoilT3_C,Soil temperature 50cm,°C,Degrees Celcius,CS655,Campbell Scientific,,LongTermVegetationPlots_Met
Timestamp,TIMESTAMP,The date and 60min time interval the data was recorded,mm/dd/yyyy hh:mm,Date and time,NA,,,OakSoilMoisture
SeqNum,RECORD,Sequence number of 15min interval,-,None,CR1000X,Campbell Scientific,,OakSoilMoisture
VWC_5cm,VWC1,Soil moisture (volumetric water content) 5cm,-,Water fraction by volume,CS650,Campbell Scientific,,OakSoilMoisture
VWC_20cm,VWC2,Soil moisture (volumetric water content) 20cm,-,Water fraction by volume,CS650,Campbell Scientific,,OakSoilMoisture
VWC_46cm,VWC3,Soil moisture (volumetric water content) 46cm,-,Water fraction by volume,CS650,Campbell Scientific,,OakSoilMoisture
VWC_66cm,VWC4,Soil moisture (volumetric water content) 66cm,-,Water fraction by volume,CS650,Campbell Scientific,,OakSoilMoisture
StartTempC_5cm,StartTempC1,Soil temperature 5cm,°C,Degrees Celcius,CS650,Campbell Scientific,,OakSoilMoisture
StartTempC_20cm,StartTempC2,Soil temperature 20cm,°C,Degrees Celcius,CS650,Campbell Scientific,,OakSoilMoisture
StartTempC_46cm,StartTempC3,Soil temperature 46cm,°C,Degrees Celcius,CS650,Campbell Scientific,,OakSoilMoisture
StartTempC_66cm,StartTempC4,Soil temperature 66cm,°C,Degrees Celcius,CS650,Campbell Scientific,,OakSoilMoisture
WaterPotential_psi_5cm,WaterPotential1_psi,Soil matrix potential 5cm,psi,Pounds per square inch,229-L,Campbell Scientific,,OakSoilMoisture
WaterPotential_psi_20cm,WaterPotential2_psi,Soil matrix potential 20cm,psi,Pounds per square inch,229-L,Campbell Scientific,,OakSoilMoisture
WaterPotential_psi_46cm,WaterPotential3_psi,Soil matrix potential 46cm,psi,Pounds per square inch,229-L,Campbell Scientific,,OakSoilMoisture
WaterPotential_psi_66cm,WaterPotential4_psi,Soil matrix potential 66cm,psi,Pounds per square inch,229-L,Campbell Scientific,,OakSoilMoisture
